⏰更新0924,#genre#
熊猫频道,https://gcwbndks.v.kcdnvip.com/gcwbnd/ipanda1000_2/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb25]:80/wh7f454c46tw2443888236_158039228/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8?icpid=3&RTS=1674369674&from=40&popid=40&hms_devid=2292&prioritypopid=40&vqe=3
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb24]:80/wh7f454c46tw3553140416_-2021535160/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw1890984412_1778241929/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1674373416&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]:80/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb27]/wh7f454c46tw3352677969_1732462333/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8?icpid=3&RTS=1668336154&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
TVBS新闻,http://198.16.100.90:8278/tvbs/playlist.m3u8?tid=MDED5111960351119603&ct=19226&tsum=49931e2d3885c468d56ffae2c2db9e6e
李子柒,http://lxajh.top/tv/douyu.php?id=2901080
小莉帮忙,http://media2.hndt.com/data_01/1/3/2023/01/15/1f2b16f5ca922e4f442d54b7ea6c9643.mp4
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8

🌏油管代理,#genre#
TVBS新闻,https://www.youtube.com/watch?v=2mCSYvcfhtc
中天新闻,https://www.youtube.com/watch?v=oIgbl7t0S_w
三立新闻,https://www.youtube.com/watch?v=oZdzzvxTfUY
东森新闻,https://www.youtube.com/watch?v=S5WOGu2HSes
寰宇新闻,https://www.youtube.com/watch?v=B7Zp3d6xXWw
民视新闻,https://www.youtube.com/watch?v=ylYJSBUgaMA
华视新闻,https://www.youtube.com/watch?v=wM0g8EoUZ_E
公视新闻,https://www.youtube.com/watch?v=quwqlazU-c8
台视新闻,https://www.youtube.com/watch?v=xL0ch83RAK8
中视新闻,https://www.youtube.com/watch?v=TCnaIE_SAtM
TVBS Live,https://www.youtube.com/watch?v=m_dhMSvUCIc
TVBS 56,https://www.youtube.com/watch?v=YvdcZ_jpLXE
中天新闻2台,https://www.youtube.com/watch?v=WPfPjbOLNfE
寰宇新闻台湾,https://www.youtube.com/watch?v=UcTIv4ZaE5Y
凤凰资讯台,https://www.youtube.com/watch?v=if6yQq_JJyY
东森直播,https://www.youtube.com/watch?v=R2iMq5LKXco
东森财经,https://www.youtube.com/watch?v=WHEPzbFA3hw
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
三立海外,https://www.youtube.com/watch?v=FoBfXvlOR6I
TaiwanPlus,https://www.youtube.com/watch?v=dZp87qnWelE
镜新闻,https://www.youtube.com/watch?v=5n0y6b0Q25o
东京都-新宿,https://www.youtube.com/watch?v=DjdUEyjx8GM
台湾地震监视,https://www.youtube.com/watch?v=Owke6Quk7T0
新唐人,https://www.youtube.com/watch?v=WIhgU_mc05A
信大电视台,https://www.youtube.com/watch?v=AQymzwl3uSk
NBC NEW,https://www.youtube.com/watch?v=0IUbD_4ytuo
DW,https://www.youtube.com/watch?v=pqabxBKzZ6M
FRANCE 24,https://www.youtube.com/watch?v=h3MuIUNCCzI
Sky News,https://www.youtube.com/watch?v=9Auq9mYxFEE
ABC News,https://www.youtube.com/watch?v=w_Ma8oQLmSM
Euronews,https://www.youtube.com/watch?v=pykpO5kQJ98
CNA,https://www.youtube.com/watch?v=XWq5kBlakcQ
National Geographic,https://www.youtube.com/watch?v=306xLRnW3Cc
Nat Geo WILD,https://www.youtube.com/watch?v=6zGV59Ldp3s
ANIMALS OF AFRICA 4K,https://www.youtube.com/watch?v=XHI_U7suyxg
GREAT HUNTER - 4K,https://www.youtube.com/watch?v=vQP8AwAFzI8
Most Beautiful Places 12K,https://www.youtube.com/watch?v=Rse-E5tARaY
4K African Animal,https://www.youtube.com/watch?v=rkPCR6Ujtak



🗻蜀小果线,#genre#
凤凰中文,https://php.61073736.repl.co/sxg.php?id=test1_4000
凤凰资讯,https://php.61073736.repl.co/sxg.php?id=test2_4000
CCTV1综合,https://php.61073736.repl.co/sxg.php?id=CCTV-1H265_4000
CCTV2财经,https://php.61073736.repl.co/sxg.php?id=CCTV-2H265_4000
CCTV3综艺,https://php.61073736.repl.co/sxg.php?id=CCTV-3H265_4000
CCTV4中文国际,https://php.61073736.repl.co/sxg.php?id=CCTV-4H265_4000
CCTV5体育,https://php.61073736.repl.co/sxg.php?id=CCTV-5H265_4000
CCTV5+,https://php.61073736.repl.co/sxg.php?id=CCTV-5plusH265_4000
CCTV6电影,https://php.61073736.repl.co/sxg.php?id=CCTV-6H265_4000
CCTV7国防军事,https://php.61073736.repl.co/sxg.php?id=CCTV-7H265_4000
CCTV8电视剧,https://php.61073736.repl.co/sxg.php?id=CCTV-8H265_4000
CCTV9纪录,https://php.61073736.repl.co/sxg.php?id=CCTV-9H265_4000
CCTV10科教,https://php.61073736.repl.co/sxg.php?id=CCTV-10H265_4000
CCTV11戏曲,https://php.61073736.repl.co/sxg.php?id=CCTV-11-H265_4000
CCTV12社会与法,https://php.61073736.repl.co/sxg.php?id=CCTV-12H265_4000
CCTV13新闻,https://php.61073736.repl.co/sxg.php?id=CCTV-xw_4000
CCTV14少儿,https://php.61073736.repl.co/sxg.php?id=CCTV-14H265_4000
CCTV15音乐,https://php.61073736.repl.co/sxg.php?id=CCTV-15-yyH265_4000
CCTV16奥林匹克,https://php.61073736.repl.co/sxg.php?id=CCTV-16_4000
CCTV16(4K),https://php.61073736.repl.co/sxg.php?id=CCTV-16-4K_8000
CCTV17农业农村,https://php.61073736.repl.co/sxg.php?id=CCTV-17_4000
CCTV4K,https://php.61073736.repl.co/sxg.php?id=ys4Kcq_2000
4K超高清电影 4K,https://php.61073736.repl.co/sxg.php?id=emdy4k_8000
欢笑剧场4K,https://php.61073736.repl.co/sxg.php?id=hxjc-4k_8000
安徽卫视,https://php.61073736.repl.co/sxg.php?id=ahwsH265_4000
北京卫视,https://php.61073736.repl.co/sxg.php?id=bjwsH265_4000
兵团卫视,https://php.61073736.repl.co/sxg.php?id=btws_4000
重庆卫视,https://php.61073736.repl.co/sxg.php?id=cqwsH265_4000
东方卫视,https://php.61073736.repl.co/sxg.php?id=dfwsH265_4000
东南卫视,https://php.61073736.repl.co/sxg.php?id=dnwsfjwsH265_4000
甘肃卫视,https://php.61073736.repl.co/sxg.php?id=gsws_4000
广东卫视,https://php.61073736.repl.co/sxg.php?id=gdwsH265_4000
广西卫视,https://php.61073736.repl.co/sxg.php?id=gxws_4000
贵州卫视,https://php.61073736.repl.co/sxg.php?id=gzwsH265_4000
海南卫视,https://php.61073736.repl.co/sxg.php?id=hnws_4000
河南卫视,https://php.61073736.repl.co/sxg.php?id=hnws35_4000
黑龙江卫视,https://php.61073736.repl.co/sxg.php?id=hljwsH265_4000
湖北卫视,https://php.61073736.repl.co/sxg.php?id=hbwsH265_4000
湖南卫视,https://php.61073736.repl.co/sxg.php?id=hnwsH265_4000
吉林卫视,https://php.61073736.repl.co/sxg.php?id=jlwsH265_4000
江苏卫视,https://php.61073736.repl.co/sxg.php?id=jswsH265_4000
江西卫视,https://php.61073736.repl.co/sxg.php?id=jxwsH265_4000
康巴卫视,https://php.61073736.repl.co/sxg.php?id=kbwsH264_2000
辽宁卫视,https://php.61073736.repl.co/sxg.php?id=lnwsHDH264_4000
内蒙古卫视,https://php.61073736.repl.co/sxg.php?id=nmgws_4000
山东教育卫视,https://php.61073736.repl.co/sxg.php?id=sdjy_4000
山东卫视,https://php.61073736.repl.co/sxg.php?id=sdwsH265_4000
山西卫视,https://php.61073736.repl.co/sxg.php?id=sxws42_4000
陕西卫视,https://php.61073736.repl.co/sxg.php?id=sxws_4000
深圳卫视,https://php.61073736.repl.co/sxg.php?id=szwsH265_4000
四川卫视,https://php.61073736.repl.co/sxg.php?id=scwsH265_4000
天津卫视,https://php.61073736.repl.co/sxg.php?id=tjwsH265_4000
西藏卫视,https://php.61073736.repl.co/sxg.php?id=xzwsH264_2000
云南卫视,https://php.61073736.repl.co/sxg.php?id=ynws_4000
浙江卫视,https://php.61073736.repl.co/sxg.php?id=zjwsH265_4000
CETV-1,https://php.61073736.repl.co/sxg.php?id=CETV-1H264_4000
CHC动作电影,https://php.61073736.repl.co/sxg.php?id=wqCHCdzdyH265_4000
CHC高清电影,https://php.61073736.repl.co/sxg.php?id=lnwsCHC-HDH265_4000
CHC家庭影院,https://php.61073736.repl.co/sxg.php?id=jbtygqCHCjtyyH265_4000
动漫秀场,https://php.61073736.repl.co/sxg.php?id=yybb-dmxc-H265_4000
都市剧场,https://php.61073736.repl.co/sxg.php?id=yxfydsjcHDH265_4000
法治天地,https://php.61073736.repl.co/sxg.php?id=fztx_4000
极速汽车,https://php.61073736.repl.co/sxg.php?id=jsqcH265_4000
纪实科教,https://php.61073736.repl.co/sxg.php?id=bjjs_2000
